Date,Open
2016-01-04,656.289978
2016-01-05,646.859985
2016-01-06,622.000000
2016-01-07,621.799988
2016-01-08,619.659973
2016-01-11,612.479980
2016-01-12,625.250000
2016-01-13,620.880005
2016-01-14,580.250000
2016-01-15,572.239990
2016-01-19,577.090027
2016-01-20,564.359985
2016-01-21,573.580017
2016-01-22,588.729980
2016-01-25,597.989990
2016-01-26,603.450012
2016-01-27,601.989990
2016-01-28,608.369995
2016-01-29,571.979980
2016-02-01,578.150024
2016-02-02,570.000000
2016-02-03,553.500000
2016-02-04,525.000000
2016-02-05,529.280029
2016-02-08,486.470001
2016-02-09,478.010010
2016-02-10,491.760010
2016-02-11,491.170013
2016-02-12,510.700012
2016-02-16,519.479980
2016-02-17,528.739990
2016-02-18,541.190002
2016-02-19,520.710022
2016-02-22,542.200012
2016-02-23,555.549988
2016-02-24,545.750000
2016-02-25,555.520020
2016-02-26,560.119995
2016-02-29,554.000000
2016-03-01,556.289978
2016-03-02,581.750000
2016-03-03,577.960022
2016-03-04,581.070007
2016-03-07,573.539978
2016-03-08,557.869995
2016-03-09,559.559998
2016-03-10,566.739990
2016-03-11,566.950012
2016-03-14,567.000000
2016-03-15,571.000000
2016-03-16,576.640015
2016-03-17,569.510010
2016-03-18,560.940002
2016-03-21,548.909973
2016-03-22,545.109985
2016-03-23,561.000000
2016-03-24,567.109985
2016-03-28,584.400024
2016-03-29,580.150024
2016-03-30,596.710022
2016-03-31,599.280029
2016-04-01,590.489990
2016-04-04,599.000000
2016-04-05,590.770020
2016-04-06,587.520020
2016-04-07,598.760010
2016-04-08,594.320007
2016-04-11,596.140015
2016-04-12,598.400024
2016-04-13,607.679993
2016-04-14,615.070007
2016-04-15,621.919983
2016-04-18,625.349976
2016-04-19,637.140015
2016-04-20,630.000000
2016-04-21,631.000000
2016-04-22,624.469971
2016-04-25,616.609985
2016-04-26,626.169983
2016-04-27,611.799988
2016-04-28,615.539978
2016-04-29,666.000000
2016-05-02,663.919983
2016-05-03,677.359985
2016-05-04,662.590027
2016-05-05,673.309998
2016-05-06,656.049988
2016-05-09,673.950012
2016-05-10,694.000000
2016-05-11,705.789978
2016-05-12,717.380005
2016-05-13,714.640015
2016-05-16,710.130005
2016-05-17,709.900024
2016-05-18,689.559998
2016-05-19,691.880005
2016-05-20,701.049988
2016-05-23,704.250000
2016-05-24,698.010010
2016-05-25,708.000000
2016-05-26,708.330017
2016-05-27,715.000000
2016-05-31,712.330017
2016-06-01,720.900024
2016-06-02,720.969971
2016-06-03,726.739990
2016-06-06,726.500000
2016-06-07,729.890015
2016-06-08,726.400024
2016-06-09,723.099976
2016-06-10,722.349976
2016-06-13,714.010010
2016-06-14,712.330017
2016-06-15,722.000000
2016-06-16,712.049988
2016-06-17,718.190002
2016-06-20,713.500000
2016-06-21,715.719971
2016-06-22,716.580017
2016-06-23,715.500000
2016-06-24,693.000000
2016-06-27,692.010010
2016-06-28,700.000000
2016-06-29,715.750000
2016-06-30,717.200012
2016-07-01,717.320007
2016-07-05,722.799988
2016-07-06,725.710022
2016-07-07,739.330017
2016-07-08,740.140015
